"tconst","primaryTitle","releaseYear","isAdult","runtimeMinutes","genres","worldwideSalesDollars","averageRating","numVotes","directors","writers","mainCast"
"tt0071360","The Conversation",1974,0,113,"Drama,Mystery,Thriller",NA,7.8,109062,"nm0000338","nm0000338","nm0000432, nm0001030, nm0307255, nm0002078"
"tt0071562","The Godfather: Part II",1974,0,202,"Crime,Drama",NA,9,1222377,"nm0000338","nm0000338,nm0701374","nm0000199, nm0000134, nm0000380, nm0000473"
"tt0071807","The Man with the Golden Gun",1974,0,125,"Action,Adventure,Thriller",NA,6.7,103292,"nm0357891","nm0537363,nm0542539,nm0001220","nm0000549, nm0000489, nm0001180, nm0000726"
"tt0071853","Monty Python and the Holy Grail",1975,0,91,"Adventure,Comedy,Fantasy",NA,8.2,528849,"nm0001402,nm0000416","nm0001037,nm0000092,nm0001385,nm0000416,nm0001402,nm0001589,nm0540627","nm0001037, nm0000092, nm0001385, nm0000416"
"tt0071877","Murder on the Orient Express",1974,0,128,"Crime,Drama,Mystery",NA,7.3,61058,"nm0001486","nm0214989,nm0002005,nm0787289","nm0001215, nm0000002, nm0000006, nm0000125"
"tt0072271","The Texas Chain Saw Massacre",1974,0,83,"Horror",NA,7.5,155446,"nm0001361","nm0377066,nm0001361","nm0122782, nm0623605, nm0200758, nm0663935"
"tt0072431","Young Frankenstein",1974,0,106,"Comedy",NA,8,154805,"nm0000316","nm0000698,nm0000316,nm0791217","nm0000698, nm0001404, nm0001204, nm0001967"
"tt0072684","Barry Lyndon",1975,0,185,"Adventure,Drama,History",NA,8.1,163005,"nm0000040","nm0000040,nm0856842","nm0641939, nm0001943, nm0535861, nm0473228"
"tt0072890","Dog Day Afternoon",1975,0,125,"Biography,Crime,Drama",NA,8,251153,"nm0001486","nm0682757,nm0460190,nm0601944,nm0909063","nm0000199, nm0001030, nm0020897, nm0101604"
"tt0073195","Jaws",1975,0,124,"Adventure,Thriller",471411300,8.1,578189,"nm0000229","nm0001940,nm0331956","nm0001702, nm0001727, nm0000377, nm0308882"
"tt0073195","Jaws",1975,0,124,"Adventure,Thriller",NA,8.1,578189,"nm0000229","nm0001940,nm0331956","nm0001702, nm0001727, nm0000377, nm0308882"
"tt0078748","Alien",1979,0,117,"Horror,Sci-Fi",NA,8.5,847961,"nm0000631","nm0639321,nm0795953","nm0000244, nm0000643, nm0000457, nm0001021"
"tt0078748","Alien",1979,0,117,"Horror,Sci-Fi",106285522,8.5,847961,"nm0000631","nm0639321,nm0795953","nm0000244, nm0000643, nm0000457, nm0001021"
"tt0078788","Apocalypse Now",1979,0,147,"Drama,Mystery,War",NA,8.5,646922,"nm0000338","nm0587518,nm0000338,nm0380282,nm0175676","nm0000640, nm0000008, nm0000380, nm0002078"
"tt0078788","Apocalypse Now",1979,0,147,"Drama,Mystery,War",92158064,8.5,646922,"nm0000338","nm0587518,nm0000338,nm0380282,nm0175676","nm0000640, nm0000008, nm0000380, nm0002078"
"tt0078841","Being There",1979,0,130,"Comedy,Drama",NA,8,71348,"nm0000797","nm0467085,nm0002717","nm0000634, nm0000511, nm0002048, nm0912001"
"tt0078935","Cannibal Holocaust",1980,0,95,"Adventure,Horror",NA,5.8,54472,"nm0219959","nm0166405,nm0824216","nm0449404, nm0161889, nm0685194, nm0053230"
"tt0079116","Escape from Alcatraz",1979,0,112,"Action,Biography,Crime",NA,7.6,130542,"nm0796923","nm0115431,nm0876227","nm0000142, nm0001526, nm0089348, nm0857806"
