"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt0111438",1994,"Action,Crime,Sci-Fi",5.9,59071,"nm0001382","nm0894156,nm0724700","unpopular"
"tt0115433",1996,"Adventure,Comedy,Crime",5.7,109766,"nm0378893","nm0807977,nm0000455","unpopular"
"tt1586265",2012,"Comedy,Drama,Romance",5.7,72318,"nm0428600","nm0189272,nm0352320,nm3763939","unpopular"
"tt0096895",1989,"Action,Adventure",7.5,367258,"nm0000318","nm0004170,nm0358334,nm0803730","popular"
"tt4630562",2017,"Action,Crime,Thriller",6.6,225456,"nm0336620","nm0860155,nm0604555","popular"
"tt0118843",1998,"Comedy,Crime,Romance",8,53206,"nm0001437","nm0586235","unpopular"
"tt3488710",2015,"Adventure,Biography,Drama",7.3,126852,"nm0000709","nm0000709,nm1358613,nm0677597","unpopular"
"tt6105098",2019,"Adventure,Animation,Drama",6.9,235437,"nm0269463","nm0622288,nm0575293,nm0731271,nm0941314","popular"
"tt0119167",1997,"Crime,Drama,Thriller",7.5,72109,"nm0359734","nm0359734","unpopular"
"tt0404030",2005,"Comedy,Drama",7.4,58097,"nm0000630","nm1583636,nm0000630","unpopular"
"tt1632708",2011,"Comedy,Romance",6.6,359902,"nm0323239","nm2226647,nm2226970,nm0323239,nm0679037","unpopular"
"tt2884206",2014,"Drama,Mystery,Romance",7.3,123266,"nm2648685","nm2648685","unpopular"
"tt12801262",2021,"Adventure,Animation,Comedy",7.5,144520,"nm1154836","nm1154836,nm5428959,nm1776787,nm0428873,nm0528724,nm6590106","unpopular"
"tt0406816",2006,"Action,Adventure,Drama",6.9,91509,"nm0001112","nm0109587","unpopular"
"tt0947798",2010,"Drama,Thriller",8,742031,"nm0004716","nm2114730,nm0374560,nm0572352","popular"
"tt1241317",2017,"Crime,Drama,Fantasy",4.5,83098,"nm1417392","nm0663048,nm0663050,nm2916300,nm2174097,nm1761126","unpopular"
"tt1320253",2010,"Action,Adventure,Thriller",6.4,340096,"nm0000230","nm1709264,nm0000230","popular"
"tt0415306",2006,"Comedy,Sport",6.6,180253,"nm0570912","nm0002071,nm0570912","popular"
"tt1336608",2012,"Comedy,Drama,Musical",5.9,76909,"nm0788202","nm0857620,nm0195476,nm1615610","unpopular"
"tt0285742",2001,"Drama,Romance",7.1,88279,"nm0286975","nm0995906,nm0737993","unpopular"
"tt1615147",2011,"Drama,Thriller",7.1,126119,"nm1170855","nm1170855","unpopular"
"tt0120815",1998,"Drama,War",8.6,1336859,"nm0000229","nm0734441","popular"
"tt0499097",2021,"Action,Thriller,War",5.7,54655,"nm1356588","nm0792263,nm1475436,nm0002007","unpopular"
"tt0332379",2003,"Comedy,Music",7.2,298339,"nm0000500","nm0925234","popular"
"tt0117571",1996,"Horror,Mystery",7.4,329082,"nm0000127","nm0932078","popular"
"tt0119217",1997,"Drama,Romance",8.3,930862,"nm0001814","nm0000354,nm0000255","popular"
"tt0319061",2003,"Adventure,Drama,Fantasy",8,434195,"nm0000318","nm1180620,nm0041864","unpopular"
"tt8936646",2020,"Action,Thriller",6.7,190054,"nm1092087","nm0751648,nm3133666,nm0751577,nm11461720","unpopular"
"tt5052474",2018,"Action,Adventure,Crime",7.1,142150,"nm1356588","nm0792263","unpopular"
"tt0272152",2001,"Drama,Mystery,Sci-Fi",7.4,181781,"nm0812200","nm0108150,nm0495378","unpopular"
"tt1091191",2013,"Action,Biography,Drama",7.5,281372,"nm0000916","nm0000916,nm2877226,nm0732961","popular"
"tt0901476",2009,"Comedy,Romance",5.4,106201,"nm0935095","nm0220045,nm1988111,nm2053085","unpopular"
"tt1365050",2015,"Drama,War",7.7,79798,"nm1560977","nm1560977,nm3303697","unpopular"
"tt0498380",2006,"Action,Adventure,Drama",7.9,160666,"nm0000142","nm2111875,nm0353673,nm2362326,nm2359677","unpopular"
"tt0960144",2008,"Action,Comedy",5.6,199049,"nm0240797","nm0001191,nm0806912,nm0031976","popular"
"tt0274812",2002,"Comedy,Drama,Romance",6.9,89875,"nm0787601","nm0933379,nm1122344,nm0787601","unpopular"
"tt0800369",2011,"Action,Adventure,Fantasy",7,811649,"nm0000110","nm1005420,nm0826714,nm0668309,nm0833089,nm0698873,nm0498278,nm1293367,nm0456158","popular"
"tt1673434",2012,"Adventure,Drama,Fantasy",5.6,244276,"nm0174374","nm0742279,nm2769412","popular"
"tt0139239",1999,"Comedy,Crime",7.2,70894,"nm0510731","nm0041864","unpopular"
"tt0061722",1967,"Comedy,Drama,Romance",8,268113,"nm0001566","nm0932229,nm0377750,nm0916047","unpopular"
"tt0066026",1970,"Comedy,Drama,War",7.4,71866,"nm0000265","nm0393645,nm0488057","popular"
"tt1403981",2010,"Drama,Romance",7.1,144857,"nm0002339","nm3391497","unpopular"
"tt1117385",2008,"Crime,Thriller",7.4,77840,"nm0006846","nm0006846","unpopular"
"tt0110216",1994,"Comedy,Romance,Sci-Fi",4.7,68307,"nm0718645","nm0905458,nm0175620","unpopular"
